question_id;threat_type;question;correct_answer;made_up_answer_1;made_up_answer_2;made_up_answer_3
0;Phishing;I got an email from my bank, but it used my real name. Is that a scam?;Not necessarily. I need more information. ;Yes, scammers don’t know real names of email account owners. ;No, only your bank can send you this information. ;No, it is not scam because attackers cannot know your real name. 
1;Phishing;This message came from a “no-reply” address but looks legit — is that normal?;Yes, however I would need more information. What does it say behind the @ and are you familiar with this address? ;No, companies never use ‘no-reply’ email addresses. ;Yes, ‘no-reply’ email addresses are normal and 100% safe.;No, only scammers use ‘no-reply’ email addresses. 
2;Phishing;I clicked a link before realizing it might be fake. Am I already hacked?;Maybe. However, I need more information. ;Yes, clicking always means that an account gets compromised. ;No, unless you login nothing can happen. ;No, only if the malware was visible. 
3;Phishing;The email has no spelling mistakes. Does that mean it’s safe?;No. ;Yes, scammers make mistakes;Yes, grammar checks ensure safety;Only if the sender is known
4;Credential Harvesting;I entered my password into a site, then realized the URL looked wrong. What should I do first?;Change your password immediately. ;Wait and monitor the situation. ;Clear your browser history. ;Power off your device and leave it turned off. 
5;Malware Delivery;I opened an attachment but didn’t download anything. Is my computer infected?;Maybe. It depends on the file and your system. ;Yes, opening an attachment always means that your computer is infected. ;No, this is completely safe. ;It’s only a problem if the antivirus alerts. 
6;Social Engineering;I replied to a suspicious email but didn’t click anything — did I mess up?;Not necessarily. Maybe you will be targeted in the future more often, but to really assess whether something happened, I’d need more information. ;Yes, replying confirms compromise.;No, replying has zero risk.;You only messed up if the data was shared. 
7;QR-Code Phishing;I scanned a QR code from a flyer and it took me to a login page. Is that bad?;Not necessarily. I would need more information. ;No, QR codes are secure. ;Only if malware installs itself after. ;Only if the website looks shady. 
8;Data Harvesting;I gave my email address but no password. Is that dangerous?;Not necessarily. This could point to data harvesting, but I would need more information to cross check the information. ;There is no risk at all. ;Yes, identity theft is guaranteed.;Only if you reused the email address elsewhere.
9;Social Engineering;The email says my account will be locked in 30 minutes. Is that a real thing?;No, urgency is a usual technique used in scams. ;Yes, companies do this often.;Only banks do this.;Only outside business hours.
10;BEC;My boss texted me asking for gift cards, but it’s after work hours — should I respond?;Contact them through an alternative channel. ;Yes, executives often need favors.;Yes, but verify later.;Only respond by text.
11;Extortion Scam;They say they already have my password and will release videos if I don’t pay. Is that real?;This is usually an extortion.;Yes, this is always true.;Only if they show proof.;Only celebrities are targeted.
12;Identity Theft;The caller knew my address and last four digits of my SSN — how could that happen?;They probably collected this data from data breaches or public records. ;They hacked you directly.;They guessed randomly. ;This only happens after phone company leaks. 
13;Social Engineering;This support agent keeps pushing me to act fast. Is urgency a red flag?;Yes, urgency is a manipulation tactic. ;No, support is always urgent.;This is only a red flag when it happens in an email. ;This is only a red flag when it’s a payment request. 
14;Phishing;The website looks exactly like the real one — how can I tell the difference?;You can check the URL carefully. ;You should only look at the design. ;You should click around to test. ;See if the HTTPS is fine. Everything else doesn’t matter.
15;Typosquatting;The sender’s email address is only one letter off. Is that intentional?;Yes, it is a common scam tactic. ;No, that’s a typo. ;This only happens accidentally. ;Only big companies are targeted.
16;Phishing;Why would a legitimate company ask me to log in through an email link?;There could be different reasons, but from a security point of view safer methods exist.;This is normal behaviour. ;This is for convenience only. ;The reason is that links are secure. 
17;Malware Delivery;The attachment is a PDF invoice I wasn’t expecting. Is it safe to open?;Unexpected attachments can be risky. I suggest not opening it. ;Yes, PDFs are always safe. ;Yes, invoices are common.;Only Word files are risky.
18;Phishing;The link text looks fine, but the URL preview is weird. Which should I trust?;You should trust the URL preview. ;You should trust the link text. ;You should trust the email’s branding. ;You should trust the sender name. 
19;Account Compromise;Should I change my password immediately or wait to confirm if it’s a scam?;Change it immediately, but go to the website to do so. ;You should wait for confirmation. ;You should ignore it unless you were hacked. ;Only reporting it is sufficient. 
20;Security Awareness;Is it better to ignore suspicious emails or report them?;It is always a good idea to report suspicious emails. ;Ignore them. ;You can reply to test it out. ;Delete the email permanently. 
21;Credential Stuffing;If I use the same password everywhere, what’s the biggest risk?;If one account gets compromised, all other accounts will also be compromised. ;Not using the same password leads to more time wasted when login in. ;Recovering accounts is more difficult. ;You will receive more spam emails. 
22;Authentication Security;Is two-factor authentication enough to protect me?;No, 2FA reduces risk but doesn’t eliminate it.;Yes, this makes you 100% safe.;This only protects you if your bank offers it. ;Only if the second factor is SMS. 
23;Phishing Prevention;What’s the safest way to check if an email is real without clicking anything?;Contact the sender via another channel. ;Only clicking and inspecting will tell you this. ;Just reply to the sender. ;Forward it to friends and ask them. 
24;Social Engineering;I fell for a phishing email. Am I bad with technology?;No, falling pray to phishing scams doesn’t say anything about your ability to handle technology. ;Yes. ;Only beginners fall for phishing. ;You should avoid tech.
25;Social Engineering;Why do these scams keep targeting me?;One reason might be that a previous scam was successful. ;You’re unlucky.;You responded before.;Your device is hacked.
